O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Date,Domain Source
11-1011.00,Chief Executives,1.C.1.a,Achievement/Effort,IM,Importance,4.69,28,0.12,4.44,4.94,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.1.b,Persistence,IM,Importance,4.76,28,0.11,4.53,4.98,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.1.c,Initiative,IM,Importance,4.85,28,0.08,4.69,5,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.2.b,Leadership,IM,Importance,4.97,28,0.02,4.93,5,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.3.a,Cooperation,IM,Importance,4.63,27,0.19,4.24,5,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.3.b,Concern for Others,IM,Importance,4.5,28,0.17,4.15,4.85,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.3.c,Social Orientation,IM,Importance,3.95,28,0.2,3.53,4.36,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.4.a,Self-Control,IM,Importance,4.21,28,0.21,3.79,4.64,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.4.b,Stress Tolerance,IM,Importance,4.43,28,0.15,4.12,4.73,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.35,28,0.17,4.01,4.69,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.5.a,Dependability,IM,Importance,4.57,28,0.18,4.21,4.94,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.5.b,Attention to Detail,IM,Importance,4.44,28,0.16,4.11,4.78,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.5.c,Integrity,IM,Importance,4.69,28,0.2,4.28,5,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.6,Independence,IM,Importance,4.13,28,0.14,3.84,4.41,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.7.a,Innovation,IM,Importance,4.05,27,0.14,3.77,4.33,N,08/2023,Incumbent
11-1011.00,Chief Executives,1.C.7.b,Analytical Thinking,IM,Importance,4.7,27,0.12,4.46,4.95,N,08/2023,Incumbent
11-1011.03,Chief Sustainability Officers,1.C.1.a,Achievement/Effort,IM,Importance,4.19,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.1.b,Persistence,IM,Importance,4.63,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.1.c,Initiative,IM,Importance,4.74,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.2.b,Leadership,IM,Importance,4.81,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.3.a,Cooperation,IM,Importance,4.67,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.3.b,Concern for Others,IM,Importance,4,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.3.c,Social Orientation,IM,Importance,3.78,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.4.a,Self-Control,IM,Importance,4.15,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.4.b,Stress Tolerance,IM,Importance,3.96,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.48,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.5.a,Dependability,IM,Importance,4.19,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.5.b,Attention to Detail,IM,Importance,3.89,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.5.c,Integrity,IM,Importance,4.56,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.6,Independence,IM,Importance,4.26,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.7.a,Innovation,IM,Importance,4.48,27,,,,,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,1.C.7.b,Analytical Thinking,IM,Importance,4.52,27,,,,,08/2021,Occupational Expert
11-1021.00,General and Operations Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.29,28,0.15,3.98,4.59,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.1.b,Persistence,IM,Importance,4.17,28,0.17,3.82,4.52,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.1.c,Initiative,IM,Importance,4.47,28,0.14,4.2,4.75,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.2.b,Leadership,IM,Importance,4.6,28,0.16,4.27,4.93,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.3.a,Cooperation,IM,Importance,4.41,28,0.14,4.12,4.71,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.3.b,Concern for Others,IM,Importance,4.28,28,0.17,3.92,4.63,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.3.c,Social Orientation,IM,Importance,3.89,28,0.25,3.37,4.4,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.4.a,Self-Control,IM,Importance,4.35,28,0.19,3.97,4.74,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.44,28,0.17,4.09,4.79,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.35,28,0.17,4,4.69,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.5.a,Dependability,IM,Importance,4.83,28,0.1,4.62,5,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.5.b,Attention to Detail,IM,Importance,4.74,27,0.13,4.48,4.99,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.5.c,Integrity,IM,Importance,4.84,28,0.1,4.64,5,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.6,Independence,IM,Importance,4.14,28,0.2,3.73,4.54,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.7.a,Innovation,IM,Importance,4.13,28,0.19,3.73,4.52,N,08/2023,Incumbent
11-1021.00,General and Operations Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.17,28,0.23,3.68,4.65,N,08/2023,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.1,27,0.16,3.77,4.43,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.1.b,Persistence,IM,Importance,4.32,27,0.16,4,4.65,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.1.c,Initiative,IM,Importance,4.56,27,0.11,4.34,4.78,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.2.b,Leadership,IM,Importance,4.03,27,0.19,3.64,4.41,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.3.a,Cooperation,IM,Importance,4.51,27,0.16,4.19,4.82,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.3.b,Concern for Others,IM,Importance,3.81,27,0.21,3.39,4.24,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.3.c,Social Orientation,IM,Importance,3.7,27,0.24,3.21,4.2,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.4.a,Self-Control,IM,Importance,4.18,26,0.2,3.77,4.6,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.35,27,0.15,4.04,4.66,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.42,27,0.14,4.13,4.72,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.5.a,Dependability,IM,Importance,4.51,27,0.14,4.22,4.8,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.5.b,Attention to Detail,IM,Importance,4.48,27,0.14,4.2,4.76,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.5.c,Integrity,IM,Importance,4.17,27,0.16,3.83,4.51,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.6,Independence,IM,Importance,4.04,27,0.15,3.74,4.35,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.7.a,Innovation,IM,Importance,3.99,27,0.18,3.61,4.37,N,08/2018,Incumbent
11-2011.00,Advertising and Promotions Managers,1.C.7.b,Analytical Thinking,IM,Importance,3.88,27,0.15,3.56,4.19,N,08/2018,Incumbent
11-2021.00,Marketing Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.32,37,0.11,4.1,4.55,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.1.b,Persistence,IM,Importance,4.23,37,0.17,3.88,4.59,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.1.c,Initiative,IM,Importance,4.53,37,0.26,4.01,5,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.2.b,Leadership,IM,Importance,4.37,37,0.19,3.98,4.75,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.3.a,Cooperation,IM,Importance,4.08,37,0.2,3.68,4.48,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.3.b,Concern for Others,IM,Importance,3.37,36,0.23,2.89,3.84,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.3.c,Social Orientation,IM,Importance,3.8,37,0.21,3.37,4.23,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.4.a,Self-Control,IM,Importance,3.87,37,0.19,3.48,4.26,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.01,37,0.22,3.57,4.46,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.31,37,0.14,4.04,4.59,N,07/2015,Incumbent
